75,16,0,1,2
36.49,43.24,43.24,51.35,56.25,68.42,21.43,16.67,05.10,05.07,02.70,02.70,04.05,05.41,65.48,70.00,0
45.28,72.73,54.72,66.67,72.41,95.45,12.50,27.27,04.84,04.63,03.77,27.27,05.66,03.03,72.85,53.57,0
40.91,58.33,45.45,33.33,70.00,99.99,16.67,37.50,05.22,04.80,00.00,00.00,04.55,00.00,71.43,70.83,2
40.91,69.77,47.73,55.81,66.67,95.83,17.39,36.84,04.32,04.00,02.27,06.98,06.82,02.33,69.35,83.85,0
51.72,47.37,55.17,44.74,68.75,82.35,30.77,19.05,03.50,03.73,06.90,07.89,03.45,07.89,84.62,60.32,2
72.73,42.50,66.67,37.50,95.45,66.67,27.27,28.00,04.63,04.50,27.27,02.50,03.03,00.00,53.57,83.33,2
58.33,46.67,33.33,40.00,99.99,66.67,37.50,33.33,04.80,05.33,00.00,06.67,00.00,06.67,70.83,76.92,0
62.50,38.89,37.50,50.00,99.99,77.78,40.00,00.00,03.67,05.25,00.00,00.00,12.50,05.56,99.99,75.00,0
25.00,66.67,16.67,50.00,50.00,99.99,20.00,33.33,04.71,05.75,00.00,00.00,08.33,00.00,99.99,70.00,2
56.52,63.16,52.17,52.63,83.33,90.00,27.27,33.33,04.38,02.17,08.70,15.79,04.35,15.79,34.91,69.05,0
35.48,38.10,48.39,54.76,66.67,52.17,06.25,21.05,04.54,04.73,12.90,04.76,06.45,02.38,58.77,71.87,0
53.33,60.87,60.00,52.17,66.67,83.33,33.33,36.36,04.00,06.14,06.67,13.04,06.67,00.00,57.58,74.79,0
60.00,66.67,52.00,50.00,84.62,77.78,33.33,55.56,05.63,06.25,04.00,11.11,00.00,00.00,75.25,76.28,0
54.55,45.59,45.45,55.88,80.00,65.79,33.33,20.00,05.08,04.36,12.12,08.82,09.09,08.82,69.87,73.17,0
50.00,41.67,56.25,45.83,66.67,81.82,28.57,07.69,03.78,03.80,00.00,04.17,06.25,12.50,58.02,66.67,2
64.71,42.86,64.71,50.00,81.82,66.67,33.33,19.05,03.67,04.82,00.00,00.00,05.88,04.76,86.36,79.06,0
41.18,41.38,47.06,63.79,68.75,59.46,16.67,09.52,05.17,04.89,00.00,08.62,05.88,01.72,70.37,63.89,2
46.67,33.33,26.67,50.00,75.00,66.67,36.36,00.00,05.43,06.67,00.00,00.00,00.00,00.00,97.50,85.00,0
64.71,42.86,64.71,50.00,81.82,66.67,33.33,19.05,03.67,04.82,00.00,00.00,05.88,04.76,86.36,79.06,0
41.18,41.38,47.06,63.79,68.75,59.46,16.67,09.52,05.17,04.89,00.00,08.62,05.88,01.72,70.37,63.89,2
46.67,33.33,26.67,50.00,75.00,66.67,36.36,00.00,05.43,06.67,00.00,00.00,00.00,00.00,97.50,85.00,0
